,name,read_count,percentage
0,Prevotella,25886,17.513852898790958
1,Parabacteroides,20456,13.840043842141228
2,Bacteroides,17567,11.885415045702725
3,Lachnoclostridium,4092,2.768550029431067
4,Oscillibacter,3743,2.532424916950265
5,Ruminococcus,2058,1.3923939297578534
6,Alistipes,1993,1.3484164732786208
7,Megamonas,1662,1.1244697333612985
8,Roseburia,1346,0.9106716372468759
9,Blautia,1026,0.6941672361183467
10,Klebsiella,625,0.42286015845415853
11,Anaerotignum,582,0.3937673795525125
12,Odoribacter,563,0.380912430735506
13,Kineothrix,395,0.2672476201430282
14,Butyricimonas,343,0.2320656549596422
15,Paraprevotella,294,0.19891341853683617
16,Hungateiclostridium,257,0.17388009715635
17,Desulfovibrio,249,0.16846748712813678
18,Ruminiclostridium,194,0.13125579318417083
19,Anaerostipes,150,0.10148643802899805
20,Brevundimonas,131,0.08863148921199164
21,Faecalicatena,124,0.08389545543730506
22,Citrobacter,116,0.07848284540909183
23,Haemophilus,91,0.06156843907092549
