taxid,read_count
2,3436
29,1
39,1
54,10
356,26
403,1
468,1
543,261
545,3
546,14
548,2
550,9
554,2
556,1
571,2
573,434
574,49
577,1
622,1
623,1
624,2
652,1
663,1
712,26
735,1
736,2
815,126
818,209
820,590
821,1161
823,15187
847,1
853,20
865,1
876,7
881,5
882,6
901,218
905,2
907,2
951,1
964,5
976,25
1117,266
1150,58
1161,8
1162,7
1224,52
1236,25
1239,4443
1246,1
1252,1
1264,34
1265,4
1267,1
1300,5
1304,6
1307,1
1309,1
1335,4
1363,43
1374,1
1385,8
1450,1
1492,1
1497,1
1499,1
1502,1
1512,67
1515,17
1521,7
1527,1
1531,140
1532,105
1535,1
1539,1
1543,2
1544,29
1547,1
1583,14
1632,9
1735,3
1736,2
1760,10
2062,1
2092,1
2137,1
2376,1
2377,1
2378,1
28111,19
28112,24
28116,117
28117,1318
28118,563
28119,4
28125,11
28128,5
28135,1
28136,66
28137,138
28211,232
28216,18
28221,2
28446,28
29347,2
29353,135
29364,1
29371,14
29375,113
29466,4
29505,1
31969,13
31977,47
31979,39
31984,1
31989,2
32016,4
33025,24
33033,3
33035,4
33039,5
33958,1
35703,4
35785,1
35830,65
36745,1
36826,1
36832,97
36844,1
36845,3
36847,3
36849,21
36850,1
39479,2
39481,1
39482,14
39493,1
39495,1
39778,4
39831,37
40041,1
40477,23
40480,5
40518,23
40519,69
40545,2
40933,1
41295,28
41297,1
42322,3
42448,1
43131,5
43143,1
43305,14
45401,6
46124,1
46503,3701
46609,2
46867,1
47493,3
47500,1
47678,738
47715,3
48256,109
49185,1
51288,4
51364,5
51365,3
52443,1
52692,1
53443,8
54291,1
54565,3
55504,1
56107,1
56760,1
57320,1
57706,23
58134,547
58621,4
59310,2
60133,1
61645,3
66219,1
66347,1
66896,1
67352,1
67824,4
67827,10
67829,25
68298,1
69218,2
69219,4
69224,1
69541,2
69657,13
69825,422
69968,2
72276,1
74311,129
74329,2
74426,14
74829,1
75682,57
76892,4
76936,1
77768,1
80840,502
82348,1
83231,2
84024,1
84030,294
84035,2
84037,1
84698,1
84993,3
85023,1
85831,21
86332,1
86660,1
86666,1
86957,1
86958,2
86959,6
89014,22
89061,1
90370,1
90371,2
90964,1
91061,19
91347,239
92407,1
94868,23
99656,9
99675,2
112900,1
112901,9
112903,3
113107,1
119043,1
119060,2
128827,339
129958,1
132925,1
133448,4
135620,1
135719,1
137591,4
142864,1
150053,1
150055,26
158847,48
158877,3
160385,2
160404,542
160487,1
163665,1
170367,2
171439,1
171523,1
171549,4200
171550,2
171552,514
178001,1
180164,25
180195,1
180282,1
180295,1
180957,1
185008,4
185294,28
186328,4
186801,32
186802,12345
186803,7702
186804,26
186806,7
186807,9
186813,7
186817,5
186822,3
186824,6
186826,50
186827,1
189425,1
189723,1
191412,1
194326,1
194924,14
200630,1
200643,22
201174,6
203404,1
203557,1
204441,1
204455,7
204457,1
204516,959
205326,18
205327,4
208479,1356
213115,1
213421,1
213422,1
213810,46
214856,44
216427,1
216874,1
216932,5
216935,1
216936,1
216938,2
216941,1
216944,1
216947,13
219290,1
219748,1
221027,1
224471,8
225084,1
225345,3
227290,1
227943,3
228604,5
234908,1
239935,21
244366,45
244830,1
246787,24
249188,1
253257,263
253314,15
256845,2
258515,7
264637,1
271848,1
272564,1
278991,1
286698,1
290053,17
290055,81
290732,2
291644,92
299767,1
301302,543
306541,1
310300,2
313382,1
314281,1
314583,1
319475,1
320502,11
320662,1
320909,2
324079,1
328812,100
328813,47
328814,414
329726,3
329854,41
332101,1
333367,33
335286,1
335929,3
338188,8
341694,1
342942,1
346376,1
348151,1
349095,1
349096,1
349741,3
349750,1
351091,3031
357276,179
357760,1
358742,25
358743,66
361365,1
365617,1
376804,17
376806,23
380084,1
387090,62
387661,29
391358,1
392838,1
394503,1
396504,15
397865,4
398555,1
411459,87
411465,4
411470,57
411477,66
419005,1
425941,2
426756,1
428126,1
431947,1
433287,9
433321,1
433663,1
435590,521
435591,917
435971,1
439703,3
441151,1
443927,1
449673,87
454154,243
454601,1
460384,171
461391,1
470145,5497
470146,1
470565,41
474957,1
474960,1
477666,2
479436,3
483012,1
484018,6189
485255,1
487174,54
491921,1013
501571,2
512399,1
515620,5
525379,2
536231,194
536633,65
537007,11
537011,25418
537012,5
538999,7
541000,16899
542833,2
543314,53
544645,61
545243,1
553174,105
558415,1
571438,1
572010,1
574930,21
585054,4
585394,337
588581,27
591001,1
592028,2
596085,4
622312,272
626937,29
630626,2
645466,1
646095,3
649756,149
649762,197
649777,1
655813,1
657309,255
663278,2
667127,21
674054,1
679937,2
682956,1
684063,8
694055,1
694434,47
697329,1882
699281,4
701526,1
706562,3
707591,3
714109,6
717959,16
720554,11
732242,3
742725,54
742726,32
742727,1
742743,2
742816,601
748727,2
758823,5
760570,2
762967,2
762968,50
762982,1
762984,76
763034,218
765170,1
767817,1
796944,1
871327,17
871664,36
871665,24
881260,1
886292,1
887325,1
887896,1
888743,1
888745,1
888828,87
889268,2
909929,93
909930,3782
909932,2550
911022,2
915438,1
927665,406
937334,11
995019,808
1002367,5
1002795,2
1005996,1
1006000,2
1006003,27
1007096,712
1007676,1
1028307,1
1033731,5
1033732,21
1033733,1
1033854,1
1037355,1
1064517,1
1073571,1
1077285,55
1087481,1
1110546,3
1118054,1
1118061,57
1121114,108
1121115,122
1121298,1
1121303,20
1121832,1
1121961,1
1122135,14
1122947,1
1123291,2
1129771,1
1150298,3
1155944,1
1158459,2
1175631,1
1177180,2
1177574,30
1203465,2
1203608,37
1206753,1
1211813,17
1211817,1
1217282,11
1218492,7
1218493,1
1224302,1
1232428,1
1234680,2
1236498,1
1236512,49
1236513,32
1236514,15
1236515,10
1236518,16
1236538,16
1281486,5
1286362,73
1286820,32
1291764,1
1296540,1
1297750,2
1297793,63
1301100,1
1301283,9
1303090,1
1313211,9
1329262,1
1335065,1
1337094,2
1337886,12
1346286,1
1349415,2
1349416,2
1350067,21
1354262,1
1354360,1
1387834,2
1411144,73
1414720,1
1423744,1
1432052,2
1432309,1
1445607,1
1452742,1
1458931,1
1458934,3
1462569,3
1463157,1
1463164,27
1469948,395
1470560,2
1471398,1
1472416,212
1472417,70
1473182,2
1514105,2
1547447,1
1549748,6
1550024,2
1567107,2
1570339,2
1650663,1
1662055,1
1662421,2
1667024,1
1667327,7
1677857,3
1686310,1
1697388,1
1720195,1
1720247,1
1737407,2
1763538,1
1776391,22
1777141,1
1783257,1
1783272,486
1796613,4
1796620,1
1798711,1254
1805714,13
1816678,3
1816689,1
1821621,1
1841856,122
1843490,9
1843491,331
1849014,2
1850438,1
1852362,3
1852381,7
1853230,1
1853231,9
1854499,2
