,name,read_count,percentage
0,Negativicutes,13086,47.94460320949659
1,Clostridia,6077,22.26496665933905
2,Gammaproteobacteria,4002,14.662563200703453
3,Bacteroidia,1806,6.616838865684765
4,Bacilli,756,2.7698395251703674
5,Betaproteobacteria,102,0.37370850736425587
6,Erysipelotrichia,17,0.06228475122737598
7,Coriobacteriia,17,0.06228475122737598
8,Fusobacteriia,5,0.018319044478639995
9,Epsilonproteobacteria,5,0.018319044478639995
10,Tissierellia,4,0.014655235582911996
11,Actinobacteria,1,0.003663808895727999
12,Unclassified,1416,5.187953396350821
