,name,read_count,percentage
0,Bacteroides vulgatus,10728,16.496240370273554
1,Bacteroides plebeius,7485,11.509541309796564
2,Sutterella massiliensis,2288,3.5182138299017423
3,Bacteroides stercoris,2252,3.4628573185921
4,[Clostridium] bolteae,1901,2.923131333323082
5,[Desulfotomaculum] guttoideum,1703,2.618670521120047
6,Bacteroides dorei,1542,2.371103901096366
7,Parabacteroides distasonis,1185,1.8221518306090752
8,Alistipes putredinis,1023,1.5730475297156827
9,Bacteroides uniformis,1006,1.5469069549305736
10,Oscillibacter valericigenes,752,1.1563360140236496
11,Anaerotignum lactatifermentans,665,1.0225577783586794
12,Roseburia inulinivorans,562,0.8641766487783125
13,Bacteroides fragilis,457,0.702720157458521
14,Bacteroides salyersiae,442,0.6796549444128366
15,[Clostridium] indolis,388,0.5966201774483724
16,[Clostridium] saccharolyticum,384,0.5904694539695231
17,Lachnoclostridium pacaense,377,0.5797056878815371
18,[Clostridium] symbiosum,367,0.564328879184414
19,Escherichia fergusonii,219,0.33675211046699366
20,[Clostridium] clostridioforme,216,0.3321390678578568
21,Parabacteroides merdae,206,0.3167622591607338
22,Bacteroides thetaiotaomicron,178,0.2737071948087894
23,[Clostridium] amygdalinum,173,0.2660187904602279
24,Sutterella wadsworthensis,172,0.2644811095905156
25,Butyricimonas faecihominis,153,0.2352651730659819
26,[Clostridium] xylanolyticum,135,0.2075869174111605
27,Bacteroides caccae,133,0.2045115556717359
28,Alistipes shahii,123,0.1891347469746129
29,Bacteroides clarus,119,0.18298402349576368
30,[Clostridium] lavalense,117,0.1799086617563391
31,Odoribacter splanchnicus,111,0.1706825765380653
32,Barnesiella intestinihominis,95,0.1460796826226685
33,Collinsella tanakaei,86,0.1322405547952578
34,Bacteroides xylanisolvens,84,0.1291651930558332
35,Anaerostipes hadrus,82,0.12608983131640858
36,Bacteroides coprocola,79,0.1214767887072717
37,Oscillibacter ruminantium,75,0.11532606522842251
38,[Ruminococcus] gnavus,71,0.10917534174957329
39,Shigella flexneri,71,0.10917534174957329
40,[Clostridium] citroniae,69,0.1060999800101487
41,Bacteroides ovatus,68,0.1045622991404364
42,Blautia producta,68,0.1045622991404364
43,Shigella sonnei,64,0.0984115756615872
44,[Clostridium] aerotolerans,63,0.09687389479187489
45,Desulfovibrio desulfuricans,57,0.08764780957360109
46,Desulfovibrio vulgaris,55,0.08457244783417649
47,[Clostridium] aldenense,54,0.0830347669644642
48,Klebsiella pneumoniae,54,0.0830347669644642
49,Blautia hominis,54,0.0830347669644642
50,[Clostridium] sphenoides,52,0.0799594052250396
51,Butyricimonas virosa,51,0.0784217243553273
52,Absiella dolichum,47,0.0722710008764781
53,Akkermansia muciniphila,44,0.0676579582673412
54,Butyricimonas paravirosa,44,0.0676579582673412
55,Escherichia coli,37,0.056894192179355096
56,Bacteroides coprophilus,36,0.055356511309642795
57,[Clostridium] fimetarium,36,0.055356511309642795
58,Bacteroides rodentium,34,0.0522811495702182
59,Anaerotignum aminivorans,33,0.05074346870050589
60,[Clostridium] asparagiforme,33,0.05074346870050589
61,Blautia coccoides,33,0.05074346870050589
62,Escherichia marmotae,32,0.0492057878307936
63,Roseburia faecis,32,0.0492057878307936
64,Bacteroides gallinarum,29,0.044592745221656696
65,[Clostridium] celerecrescens,26,0.0399797026125198
66,[Clostridium] methoxybenzovorans,25,0.038442021742807496
67,Desulfovibrio oxamicus,25,0.038442021742807496
68,Bacteroides mediterraneensis,25,0.038442021742807496
69,Roseburia hominis,25,0.038442021742807496
70,Klebsiella quasipneumoniae,24,0.036904340873095194
