,name,read_count,percentage
0,Bacteroidaceae,24832,38.18369135669583
1,Lachnospiraceae,11549,17.75867636430735
2,Enterobacteriaceae,5216,8.020543416419358
3,Ruminococcaceae,4241,6.521304568449864
4,Sutterellaceae,2604,4.004120984730829
5,Acidaminococcaceae,2398,3.6873587255700953
6,Tannerellaceae,1409,2.1665923454246308
7,Rikenellaceae,1171,1.8006242984331031
8,Oscillospiraceae,827,1.271662079252072
9,Odoribacteraceae,364,0.5597158365752771
10,Desulfovibrionaceae,184,0.2829332800270632
11,Erysipelotrichaceae,162,0.24910430089339258
12,Coriobacteriaceae,107,0.16453185305921608
13,Barnesiellaceae,97,0.1491550443620931
14,Streptococcaceae,46,0.0707333200067658
15,Akkermansiaceae,44,0.0676579582673412
16,Veillonellaceae,41,0.06304491565820429
17,Oxalobacteraceae,25,0.038442021742807496
18,Prevotellaceae,13,0.0199898513062599
19,Alcaligenaceae,10,0.015376808697123
20,Vibrionaceae,10,0.015376808697123
21,Yersiniaceae,9,0.013839127827410699
22,Pectobacteriaceae,9,0.013839127827410699
23,Clostridiaceae,8,0.0123014469576984
24,Erwiniaceae,8,0.0123014469576984
25,Sporomusaceae,6,0.009226085218273799
26,Peptostreptococcaceae,5,0.0076884043485615
27,Comamonadaceae,4,0.0061507234788492
28,Morganellaceae,4,0.0061507234788492
29,Clostridiales Family XIII. Incertae Sedis,3,0.004613042609136899
30,Lactobacillaceae,2,0.0030753617394246
31,Eubacteriaceae,2,0.0030753617394246
32,Nocardioidaceae,2,0.0030753617394246
33,Hungateiclostridiaceae,2,0.0030753617394246
34,Burkholderiaceae,2,0.0030753617394246
35,Caldicoprobacteraceae,1,0.0015376808697123
36,Spirochaetaceae,1,0.0015376808697123
37,Christensenellaceae,1,0.0015376808697123
38,Porticoccaceae,1,0.0015376808697123
39,Rhodothermaceae,1,0.0015376808697123
40,Eggerthellaceae,1,0.0015376808697123
41,Xanthomonadaceae,1,0.0015376808697123
42,Streptomycetaceae,1,0.0015376808697123
43,Carnobacteriaceae,1,0.0015376808697123
44,Corynebacteriaceae,1,0.0015376808697123
45,Selenomonadaceae,1,0.0015376808697123
46,Shewanellaceae,1,0.0015376808697123
47,Unclassified,9605,14.769424753586591
