taxid,read_count
2,1542
356,1
506,5
519,1
543,2946
545,9
546,49
548,4
550,189
556,1
562,10
564,5
571,15
573,87
574,8
577,1
580,1
582,2
587,1
621,1
622,5
623,14
624,6
641,5
676,2
712,22
717,1
720,1
726,1
815,4
817,113
818,121
820,319
821,3773
823,639
839,1
840,1
853,6
856,1
861,1
868,1
905,17
907,4
976,21
1224,39
1236,93
1239,337
1302,1
1304,14
1305,1
1308,1
1358,1
1504,1
1512,33
1515,1
1526,1
1531,98
1532,3
1544,4
1583,35
1660,1
28111,44
28116,61
28118,27
28125,9
28128,3
28130,3
28135,5
28136,134
28137,592
28141,4
28169,1
28216,30
28446,8
29348,6
29364,1
29375,154
29471,1
29494,1
31971,1
31977,456
33039,4
35703,3
36832,53
39482,6
39777,2
39778,2
39831,12
40545,2062
43305,1
46124,1
46503,1
47678,346
49546,2
52443,1
53443,1
54291,1
54736,1
55209,1
57706,31
58134,714
59201,2
59202,3
59204,1
59205,4
59310,1
60133,1
61645,24
61648,1
61651,2
67824,3
67827,24
67828,2
67829,60
68334,2
69218,32
69219,114
69224,1
69824,3
69825,297
71388,1
74426,8
75682,1
77768,4
80840,217
82991,1
83231,9
83655,26
84030,133
84037,1
84566,1
85831,20
87883,1
89014,1
90370,6
90371,19
91061,1
91347,1807
93378,2
94868,20
99656,1
103891,1
128827,25
133448,9
135622,1
137591,1
151276,1
158823,6
158836,11
158877,2
160404,27
169050,1
171549,1617
171550,1
171552,1082
180164,3
182337,1
185294,28
186802,884
186803,1092
186804,3
186807,1
186817,1
187327,1800
204516,12
208224,11
208479,774
218538,1
218936,1
224471,2
228604,35
234908,3
237576,2
244366,5
246787,11
248316,1
253257,138
273527,1
290053,6
290055,6
290111,1
291644,17
299767,36
301302,98
308994,1
309120,2
321983,1
328812,1
328813,5
328814,40
329854,24
333367,23
338188,20
341225,1
341694,1
349094,1
349095,5
351091,207
357276,34
358742,5
358743,27
376804,3
376806,14
387661,1
399969,7
411459,8
411470,8
433287,12
435590,6848
435591,253
439703,2
449673,743
460384,66
470145,15
470565,72
470931,2
477666,3
479436,1
484018,4
487175,22
497725,1
536231,3
536633,14
537011,68794
541000,2999
553174,225
566551,1
585054,11
585394,10
591001,11
592028,1
596085,3
622312,46
630626,3
649756,33
649762,21
657309,391
667127,15
679937,2
712036,1
732242,1
742725,12
742727,5
742742,2
742743,3221
760570,2
762967,3
762984,26
763034,3
862514,1
871664,2
871665,1
879612,4
881260,35
888062,2
888828,52
908937,1
909929,1
909930,72
909932,327
911008,16
980518,1
995019,360
997353,1
1002367,2
1005665,3
1005995,1
1006003,88
1006004,1
1007096,55
1027360,2
1028307,3
1033731,1
1033732,1
1064535,7
1073999,1
1077285,36
1121114,12
1121115,17
1121325,1
1122219,1
1134435,1
1158459,6
1162670,1
1177574,36
1201031,2
1203608,20
1224742,1
1232428,1919
1236512,64
1236513,32
1236514,21
1236515,16
1236517,2
1236518,12
1236538,10
1268237,1
1282664,1
1286362,75
1286820,32
1296536,379
1297793,92
1337886,1
1354262,9
1411144,1
1414720,2
1423802,1
1463164,6
1469948,39
1499973,1
1529639,1
1550024,1
1581472,1
1646340,4
1667024,1
1697388,52
1776391,1
1783272,9
1796613,14
1805714,1
1816689,43
1841856,5
1843490,1
1888195,1
1903409,11
1903410,1
1903411,2
1903412,1
1903414,1
1911679,1
1912896,1
1914243,3
1917868,2
1917870,128
2005525,4
2025493,11
2042057,16
2058152,10
2304686,1
