taxid,read_count
2,1178
337,1
356,1
403,1
489,1
519,1
543,1443
545,3
546,17
548,2
550,28
552,1
556,1
562,16
564,13
571,3
573,313
574,30
580,3
582,1
615,1
618,2
621,4
622,7
623,35
624,23
641,1
666,1
685,1
712,28
815,16
818,82
820,316
821,941
823,585
831,1
834,1
853,19
868,2
876,11
881,5
882,1
901,107
917,1
964,1
976,9
1224,1
1236,29
1239,6034
1245,1
1264,2
1302,1
1304,38
1305,1
1307,2
1308,2
1334,1
1338,1
1358,1
1379,1
1385,4
1502,30
1510,3
1512,51
1515,2
1521,4
1531,96
1532,65
1543,1
1544,29
1547,1
1732,1
1735,1
1760,1
2082,1
2139,3
28037,10
28111,6
28112,1
28116,167
28117,475
28118,219
28119,2
28125,4
28129,1
28136,30
28137,70
28141,1
28169,1
28211,14
28216,3
28446,39
28449,1
29341,1
29347,5
29353,4
29363,3
29364,1
29375,87
29466,15
29483,1
31969,29
31977,81
31979,12
32016,5
33025,6
33035,2
33039,5
33942,1
35703,3
35830,3
35837,1
36745,1
36832,79
36847,3
36849,5
39482,17
39488,2
39493,3
39496,5
39777,2
39778,14
39831,42
40477,22
40480,3
40519,1
40545,47
40577,1
41297,1
42322,1
43305,8
44253,1
46124,3
46503,166
47678,45
47770,2
48256,5
51288,2
51365,2
53443,4
54291,3
54565,2
55211,1
56142,1
56457,1
57706,19
58134,712
58621,1
59310,3
61645,6
67824,1
67827,19
67829,73
69218,3
69219,65
69224,1
69657,1
69825,449
73098,4
74426,2
75682,26
76892,1
77768,2
80840,91
80842,1
80879,1
83231,2
83655,4
84030,316
85831,8
86959,1
89014,7
90370,3
90371,2
91061,3
91347,535
94868,26
99656,12
100133,1
100134,1
105841,1
106590,1
112901,3
113107,7
113557,1
119060,3
119641,1
128827,60
132925,1
133448,5
137545,1
151783,1
158847,41
158877,1
160385,1
160404,1055
165758,1
171549,603
171550,1
171551,1
171552,143
180163,1
180164,12
180198,1
180957,1
185008,3
185294,8
186328,4
186801,15
186802,8758
186803,5437
186804,87
186806,2
186807,1
186813,7
186817,2
186822,1
186824,1
186826,1
186828,2
189723,1
194924,5
195103,12
200132,1
200643,1
203404,1
204040,1
204516,744
205326,9
205327,2
206351,1
208479,698
208962,6
211589,1
213810,9
214856,14
216932,6
216936,1
216938,1
216940,1
216947,11
219334,1
228604,3
234908,38
244366,1
246787,7
252583,1
253257,306
253314,19
257758,1
258475,1
266810,1
267890,1
273527,1
290053,4
290055,61
291644,34
296995,1
299767,7
301302,261
307643,1
314583,1
319475,1
320502,3
320909,1
328812,3
328813,7
328814,158
329854,9
333367,15
333965,1
338188,4
340047,4
342942,1
351091,2419
357276,58
358742,15
358743,61
376804,2
376806,2
379684,1
380084,2
387090,19
387661,1
391358,2
396504,1
397865,2
399969,2
409322,1
411459,76
411470,84
411477,1
411570,1
413501,1
419208,1
423477,2
433287,21
433321,1
433663,5
435590,813
435591,22
449673,99
450362,1
454154,190
460384,93
470145,1583
470565,25
477666,1
479436,19
484018,2714
487174,6
487175,1
491921,1186
515619,2
515620,5
536231,310
536633,35
537007,6
537011,13218
538999,3
541000,14050
543314,92
544645,19
545243,1
553174,37
558415,1
574930,4
585054,77
585394,220
588581,2
591001,1
622312,391
626937,10
626947,1
630626,1
644651,1
649756,104
649762,54
655813,2
657309,102
659251,1
663278,1
667127,13
684063,2
694434,16
697329,46
699281,2
702114,1
706562,4
717959,4
732242,1
742725,16
742726,8
742727,2
742816,413
742817,1
760570,47
762967,4
762968,24
762982,1
762984,48
763034,97
796007,1
871664,7
871665,3
873513,1
881260,4
888807,1
888828,52
889201,1
889206,4
909929,52
909930,2696
909932,1698
911008,1
927665,9
937334,3
942866,1
977880,2
995019,94
997353,1
1000570,1
1002367,3
1005995,1
1005996,2
1006000,3
1006003,50
1007096,471
1028307,1
1033731,3
1033732,7
1035839,4
1077285,17
1110546,13
1115758,1
1116389,1
1117645,1
1118061,14
1121114,75
1121115,47
1121303,10
1121325,1
1121328,1
1121338,1
1121424,1
1158459,5
1167628,1
1177574,11
1203608,15
1211813,4
1217282,6
1224302,1
1234680,4
1235558,1
1236512,15
1236513,16
1236514,6
1236515,3
1236517,2
1236518,1
1236538,5
1240483,1
1243662,1
1276221,1
1285191,1
1286362,53
1286820,27
1296536,7
1297750,1
1297793,60
1337886,5
1350067,1
1411144,13
1414720,4
1415778,1
1423818,1
1452742,3
1463164,36
1469948,385
1471398,1
1472416,130
1472417,56
1473182,1
1499973,9
1550024,1
1567106,1
1570339,1
1617979,2
1646340,2
1650663,1
1667327,11
1697388,6
1720200,1
1737407,1
1776391,111
1783272,62
1792175,1
1796613,3
1796618,1
1796620,1
1805714,4
1816678,1
1816689,104
1841856,57
1843490,5
1843491,227
1853231,1
1903410,1
1903411,1
1907660,5
1912894,1
1912896,3
1914243,1
1917868,1
1917870,125
1962263,1
2005525,6
2008794,1
2018668,1
2025493,76
2026190,1
2042057,5
2047734,1
2304686,113
