,name,read_count,percentage
0,Bacteroidia,6687,49.31779629766207
1,Clostridia,3541,26.11549524301202
2,Gammaproteobacteria,1319,9.727856036580869
3,Negativicutes,915,6.748285271775205
4,Betaproteobacteria,374,2.7583155099933623
5,Deltaproteobacteria,260,1.9175455417066156
6,Erysipelotrichia,37,0.27288148093517217
7,Bacilli,18,0.13275315288738107
8,Coriobacteriia,8,0.05900140128328047
9,Synergistia,2,0.014750350320820118
10,Verrucomicrobiae,1,0.007375175160410059
11,Alphaproteobacteria,1,0.007375175160410059
12,Unclassified,396,2.9205693635223895
