,name,read_count,percentage
0,Bacteroidia,86864,75.80814075263562
1,Clostridia,8526,7.440829435174195
2,Negativicutes,7863,6.862214619842212
3,Gammaproteobacteria,6510,5.681421489911331
4,Betaproteobacteria,2752,2.401731480835021
5,Bacilli,66,0.05759966487467709
6,Erysipelotrichia,36,0.031417999022551144
7,Coriobacteriia,10,0.00872722195070865
8,Flavobacteriia,3,0.0026181665852125953
9,Fusobacteriia,2,0.0017454443901417302
10,Sphingobacteriia,1,0.0008727221950708651
11,Actinobacteria,1,0.0008727221950708651
12,Alphaproteobacteria,1,0.0008727221950708651
13,Cytophagia,1,0.0008727221950708651
14,Unclassified,1948,1.700062835998068
