,name,read_count,percentage
0,Bacteroidaceae,5939,43.801165277675345
1,Ruminococcaceae,2066,15.237111881407184
2,Enterobacteriaceae,1170,8.62895493767977
3,Oscillospiraceae,505,3.72446345600708
4,Lachnospiraceae,481,3.547459252157239
5,Sutterellaceae,327,2.41168227745409
6,Rikenellaceae,320,2.360056051331219
7,Acidaminococcaceae,295,2.1756766723209675
8,Selenomonadaceae,263,1.9396710671878457
9,Desulfovibrionaceae,259,1.9101703665462055
10,Veillonellaceae,204,1.5045357327236522
11,Tannerellaceae,179,1.3201563537134007
12,Prevotellaceae,79,0.5826388376723948
13,Barnesiellaceae,58,0.42776015930378347
14,Odoribacteraceae,42,0.3097573567372225
15,Erysipelotrichaceae,37,0.27288148093517217
16,Streptococcaceae,18,0.13275315288738107
17,Hungateiclostridiaceae,11,0.08112692676451067
18,Erwiniaceae,7,0.05162622612287042
19,Peptostreptococcaceae,4,0.029500700641640235
20,Christensenellaceae,4,0.029500700641640235
21,Coriobacteriaceae,4,0.029500700641640235
22,Atopobiaceae,3,0.02212552548123018
23,Vibrionaceae,3,0.02212552548123018
24,Pseudomonadaceae,2,0.014750350320820118
25,Synergistaceae,2,0.014750350320820118
26,Sporomusaceae,2,0.014750350320820118
27,Clostridiaceae,2,0.014750350320820118
28,Morganellaceae,2,0.014750350320820118
29,Yersiniaceae,2,0.014750350320820118
30,Eggerthellaceae,1,0.007375175160410059
31,Alcaligenaceae,1,0.007375175160410059
32,Akkermansiaceae,1,0.007375175160410059
33,Dysgonamonadaceae,1,0.007375175160410059
34,Burkholderiaceae,1,0.007375175160410059
35,Unclassified,1264,9.322221402758345
