,name,read_count,percentage
0,Prevotellaceae,33146,29.067279360179597
1,Bacteroidaceae,33073,29.003262242177634
2,Ruminococcaceae,12414,10.88641784762172
3,Lachnospiraceae,8095,7.098884523642486
4,Sutterellaceae,3506,3.0745755577381786
5,Acidaminococcaceae,2128,1.8661428370983586
6,Veillonellaceae,1891,1.6583064402974603
7,Oscillospiraceae,1520,1.3329591693559704
8,Tannerellaceae,1490,1.3066507646976286
9,Enterobacteriaceae,1126,0.9874421215097515
10,Rikenellaceae,553,0.4849515925354287
11,Odoribacteraceae,117,0.10260277816753192
12,Erysipelotrichaceae,92,0.08067910761891399
13,Peptostreptococcaceae,72,0.06314017118001965
14,Streptococcaceae,60,0.05261680931668304
15,Pasteurellaceae,54,0.04735512838501473
16,Barnesiellaceae,46,0.040339553809456995
17,Desulfovibrionaceae,36,0.03157008559000982
18,Alcaligenaceae,16,0.014031149151115476
19,Coriobacteriaceae,14,0.012277255507226041
20,Comamonadaceae,13,0.011400308685281324
21,Sporomusaceae,12,0.010523361863336607
22,Oxalobacteraceae,10,0.008769468219447171
23,Clostridiales Family XIII. Incertae Sedis,10,0.008769468219447171
24,Clostridiaceae,9,0.007892521397502456
25,Hungateiclostridiaceae,8,0.007015574575557738
26,Burkholderiaceae,6,0.005261680931668304
27,Fusobacteriaceae,5,0.004384734109723586
28,Leuconostocaceae,4,0.003507787287778869
29,Yersiniaceae,4,0.003507787287778869
30,Synergistaceae,3,0.002630840465834152
31,Erwiniaceae,3,0.002630840465834152
32,Xanthomonadaceae,2,0.0017538936438894345
33,Lactobacillaceae,2,0.0017538936438894345
34,Rhodanobacteraceae,2,0.0017538936438894345
35,Pectobacteriaceae,2,0.0017538936438894345
36,Paenibacillaceae,1,0.0008769468219447172
37,Peptococcaceae,1,0.0008769468219447172
38,Cardiobacteriaceae,1,0.0008769468219447172
39,Thermoanaerobacteraceae,1,0.0008769468219447172
40,Shewanellaceae,1,0.0008769468219447172
41,Hafniaceae,1,0.0008769468219447172
42,Gracilibacteraceae,1,0.0008769468219447172
43,Streptomycetaceae,1,0.0008769468219447172
44,Nitrosomonadaceae,1,0.0008769468219447172
45,Vibrionaceae,1,0.0008769468219447172
46,Unclassified,14478,12.696436088115561
