taxid,read_count
2,479
468,1
477,2
506,1
511,1
543,5681
545,21
546,6
548,16
550,6
552,1
554,1
556,1
562,37
563,1
564,50
571,5
573,453
574,26
575,46
577,2
580,10
614,1
615,1
618,1
621,19
622,20
623,165
624,86
641,4
672,1
703,6
712,7
726,2
817,38
818,288
820,383
821,3010
823,1308
856,1
860,1
861,1
876,1
905,5
907,1
976,6
1224,5
1236,116
1239,183
1246,14
1261,1
1302,2
1304,29
1305,2
1313,2
1328,1
1338,2
1358,19
1363,12
1379,1
1502,4
1512,132
1531,64
1532,13
1544,7
1583,7
1629,1
1760,1
28037,6
28111,7
28112,1
28116,61
28118,76
28125,2
28128,2
28136,43
28137,150
28141,3
28216,5
28446,3
29347,3
29348,25
29375,108
29391,3
29466,7
31971,6
31977,182
32033,1
33025,4
33033,1
33035,2
33039,9
33964,1
34062,9
35703,5
36832,48
36847,1
39482,5
39494,1
39777,25
39778,15
39831,34
40324,1
40545,1672
43305,1
44007,1
46124,25
46503,3
47678,884
51288,38
53443,1
54291,206
55207,1
55210,1
57706,23
58134,1059
58169,1
61645,1
61651,1
66270,1
67824,1
67825,1
67827,3
67828,1
67829,22
69218,2
69219,5
69222,1
69224,1
69824,17
69825,455
70856,1
74426,30
75682,1
80840,105
80866,1
82995,1
82996,2
83655,9
84030,136
84112,1
84163,1
84642,2
85698,3
85831,10
89014,12
91061,2
91347,1173
94868,9
102148,4
102886,1
104609,1
107400,1
112903,1
114528,1
119060,1
128827,171
133448,1
137545,1
137732,8
158823,3
160404,14
163665,1
171194,1
171549,161
171552,149
176090,1
180164,13
180957,1
185294,7
186802,1292
186803,3410
186807,1
186817,1
186826,33
186827,1
186828,10
187327,913
195103,8
200643,1
203404,9
204516,6
208224,2
208479,1162
208962,5
211760,4
216932,1
219334,1
228604,4
234908,1
244366,4
244830,1
246787,3
252583,1
253257,172
257758,2
290053,1
290055,29
291644,4
299462,1
301302,41
321983,1
328814,50
329854,7
333367,13
338188,24
341225,22
342942,1
349095,1
351091,390
351614,3
357276,16
358742,2
358743,13
376806,2
387090,1
387661,2
399969,4
411459,86
411470,74
419007,1
419257,1
433287,10
435590,16990
435591,457
439703,1
449673,681
460384,40
470145,7
470565,15
479436,5
484018,2
487175,2
536231,6
536633,31
537007,6
537011,16969
541000,6353
542833,2
543314,3
546271,1
553174,35
574930,1
585054,122
585394,65
591001,2
596085,3
622312,2610
626937,1
630626,2
649756,67
649762,115
657309,354
667127,18
697329,1
717959,1
742725,10
742727,1
742743,2
742816,1
760570,20
762984,15
763034,3
871664,5
871665,7
881260,2
888728,1
888807,1
888828,8
889201,1
889204,1
889206,3
909930,4571
909932,2497
911008,4
927665,4
935294,20
995019,71
1005996,36
1006000,14
1006003,37
1007096,9
1028307,8
1033731,1
1034471,1
1077285,38
1121114,34
1121115,62
1122943,1
1158459,13
1177180,1
1177574,13
1201031,1
1203608,7
1219067,1
1224742,1
1232428,996
1236512,22
1236513,5
1236514,8
1236515,4
1236538,4
1286362,16
1286820,27
1287735,1
1296536,11
1297793,46
1298596,1
1337886,13
1350067,1
1445607,1
1449981,1
1458355,1
1463164,33
1469948,80
1499973,24
1615952,1
1667327,4
1697388,12
1703337,1
1783272,2
1796613,5
1816678,1
1816689,1
1821960,2
1841856,3
1843490,7
1843491,1
1903409,6
1903410,1
1903414,2
1911679,1
1912894,1
1912896,2
1917868,3
1917870,125
2005525,5
2025493,16
2042057,7
2058152,6
