taxid,read_count
2,807
468,1
519,1
543,875
545,1
550,1
552,1
562,16
564,10
622,2
623,14
624,8
633,1
641,1
675,1
712,1
815,110
818,7
820,313
821,873
823,373
840,29
850,12
856,1561
860,2
861,133
976,5
1224,4
1236,15
1239,4297
1264,1
1282,1
1290,12
1385,1
1512,5
1531,105
1532,3
1544,5
1547,1
1747,1
2376,2
28111,21
28116,69
28118,1
28125,26
28131,3
28135,2
28136,13
28216,43
29347,1
29388,1
29466,4
33025,5
33035,1
36832,2
38304,1
39482,1
39777,1
39778,1
40324,2
40545,500
41170,1
42322,1
43770,1
46124,4
46503,168
47678,542
58134,9
59203,1
69825,13
75682,1
76123,1
77768,2
80840,195
80866,2
83231,1
84030,5
84112,1
85831,9
86958,1
91347,58
96344,1
99656,6
105841,2
112904,1
119060,2
135622,1
160404,2
161536,1
171549,3952
171551,1
171552,1608
180164,2
185294,1
186802,437
186803,736
186804,7
186826,3
186828,2
189722,1
200643,11
203492,7
204516,13
206389,1
208479,981
208962,3
209080,1
211589,1
213312,1
224471,3
228603,74
228604,6
234908,1
239935,8
244830,5
246787,3
252583,1
253257,1
290053,6
290055,1
291644,2
310300,3
329854,10
333367,8
338188,7
351091,11
357276,42
358742,12
358743,6
376804,13
376805,1
376806,48
387090,149
387661,2
391358,9
393480,5
411459,6
411470,65
411477,3
425941,8
435590,1623
435591,12
439703,1
449673,1957
454154,214
460384,16
470145,338
470565,1
484018,38793
487174,1
515414,1
536231,318
536633,23
537007,6
537011,15
541000,26
553174,2
585054,84
585394,4
622312,1
630626,1
645466,3
649756,4
649762,8
657309,82
679937,1
694434,1
732242,1
742743,1
742766,1
752555,3
760570,2
762967,7
762968,61
762982,6
762984,133
763034,3
862515,2
871665,17
873513,1
888828,1
909929,5
909930,6507
909932,3597
915438,1
995019,287
1002367,37466
1007096,2
1009370,1
1076412,1
1077285,12
1118057,1
1121114,2
1121115,2
1122992,1
1123291,2
1140002,1
1158459,1
1203608,1
1232428,1
1234680,2
1236512,55
1236513,6
1236514,1
1236515,2
1236516,9
1236518,1
1236538,3
1286820,3
1296536,1
1297750,1
1297793,2
1337886,11
1349822,1
1391911,1
1411144,36
1462569,1
1462571,1
1469948,1
1499973,6
1541063,1
1686296,1
1703337,1
1755100,3
1776391,6
1783272,2
1796613,1
1798182,1
1805714,1
1816689,16
1841856,144
1843490,7
1903409,1
1903414,1
1907660,6
1912894,1
1912896,1
1917870,6
2005525,16
2025493,5
2042057,3
